GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:22:11 EDT 2018,22:11.2,-79.82726446,43.74866405,0.03694218,4,230.9976476,336.73502,-0.31962591,2.77368259,8.7699604,-0.01676444,-,-,-,4.31372547,-0.04009457,0,0,-,-,14.66994286,14.60579205,2.30795002,0.10290223,âˆž,3.34443212,-,-,-,30.19607925,25.09803963,-,-,725,-,-,-,-,-,0.36651179,0.00610853,-,13.12335968,757.866333,336.7350159,43.74866486,-79.82726288,14,-,51,0,25.69696045,0.75150162,0,-,1.17647064,236,0.0826373,0,4.31372547,-,-,0.00949449,10.81200027,275.54599
Fri May 25 19:22:14 EDT 2018,22:14.2,-79.82725964,43.74866783,0.25769523,4,231.0165733,13.341029,-1.98718739,-7.70573807,5.39772797,0.00140756,-,-,-,3.92156863,-0.02410727,0,0,-,-,14.66994286,14.68968201,2.30795002,0.10225096,âˆž,4.0727272,-,-,-,28.62745094,21.1764698,-,-,700,-,-,-,-,-,0.33621463,0.00560358,-,13.12335968,757.9284058,13.34102917,43.74866867,-79.82726288,14,-,51,0,25.68780708,0.74374622,0,-,1.17647064,289,0.57644778,0,3.92156863,-,-,0.00949449,10.81200027,278.5320129
Fri May 25 19:22:17 EDT 2018,22:17.2,-79.8272501,43.7486735,0.03419555,4,231.0345338,13.341029,-2.05063367,-7.78833818,5.46117401,0.0089267,-,-,-,3.92156863,-0.00917275,0,0,-,-,14.66994286,14.68160725,2.30795002,0.10097282,âˆž,4.11481476,-,-,-,28.23529434,20.3921566,-,-,687.5,-,-,-,-,-,0.33270571,0.0055451,-,13.12335968,757.9873047,13.34102917,43.74867249,-79.82724762,14,-,51,0,25.67904091,0.73614931,0,-,1.17647064,293,0.07649326,0,3.92156863,-,-,0.00949449,10.81200027,281.5180054
Fri May 25 19:22:20 EDT 2018,22:20.2,-79.82725038,43.74867352,0.01182142,4,231.0390427,13.341029,-2.01591778,-7.69616127,5.53180313,0.00298424,-,-,-,3.52941179,-0.02719098,0,0,-,-,14.66994286,14.6398859,2.30795002,0.09972624,âˆž,4.14872646,-,-,-,28.23529434,19.6078434,-,-,675,-,-,-,-,-,0.31899956,0.00531666,-,13.12335968,758.0021362,13.34102917,43.74867249,-79.82724762,13,-,51,0,25.66986275,0.7294693,0,-,1.17647064,296,0.02644376,0,3.92156863,-,-,0.00949449,10.81200027,284.1950073
Fri May 25 19:22:23 EDT 2018,22:23.2,-79.82725063,43.74867329,0.01182478,4,231.0438734,13.341029,-2.0973208,-7.82784224,5.40371323,0.00468059,-,-,-,3.52941179,-0.01514469,0,0,-,-,14.66994286,14.71166325,2.30795002,0.09851006,âˆž,4.17705488,-,-,-,29.01960754,20.3921566,-,-,662.5,-,-,-,-,-,0.33053178,0.00550886,-,13.12335968,758.0179443,13.34102917,43.74867249,-79.82724762,13,-,51,0,25.66227913,0.72167784,0,-,1.17647064,299,0.02645128,0,3.92156863,-,-,0.00949449,10.81200027,287.3800049
Fri May 25 19:22:26 EDT 2018,22:26.2,-79.82725072,43.74867388,0.014019633,4,231.0488714,13.341029,-2.02669168,-7.66264248,5.43603516,-0.00127101,-,-,-,3.52941179,-0.00569728,0,0,-,-,14.66994286,14.70358849,2.30795002,0.09674043,âˆž,4.21572542,-,-,-,29.41176605,20.3921566,-,-,662.5,-,-,-,-,-,0.31876341,0.00531272,-,13.12335968,758.0343628,13.34102917,43.74867249,-79.82724762,13,-,51,0,25.65133667,0.71378344,0,-,1.17647064,302,0.03136102,0,3.92156863,-,-,0.00949449,10.81200027,290.678009
Fri May 25 19:22:29 EDT 2018,22:29.2,-79.82725031,43.74867459,0.040205847,4,231.0542079,13.341029,-1.97641349,-7.82903957,5.43004942,0.00364855,-,-,-,3.52941179,-0.00458894,0,0,-,-,14.66994286,14.65379333,2.30795002,0.09616459,âˆž,4.24362803,-,-,-,28.62745094,20.3921566,-,-,675,-,-,-,-,-,0.33606955,0.00560116,-,13.12335968,758.0518799,13.34102917,43.7486763,-79.82724762,13,-,51,0,25.64224815,0.70834446,0,-,1.17647064,304,0.08993792,0,3.92156863,-,-,0.00949449,10.81200027,292.9930115
Fri May 25 19:22:32 EDT 2018,22:32.2,-79.82724883,43.74867535,0.042646505,4,231.0598444,13.341029,-2.04823947,-7.79432344,5.42526102,0.00491864,-,-,-,3.52941179,-0.01263334,0,0,-,-,14.66994286,14.66994286,2.30795002,0.09503324,âˆž,4.27871609,-,-,-,29.41176605,20.3921566,-,-,662.5,-,-,-,-,-,0.32602522,0.00543375,-,13.12335968,758.0703735,13.34102917,43.7486763,-79.82724762,14,-,51,0,25.63510895,0.70062345,0,-,1.17647064,308,0.09539751,0,3.92156863,-,-,0.00949449,10.81200027,296.3410034
Fri May 25 19:22:35 EDT 2018,22:35.2,-79.82724814,43.74867672,0.15065409,4,231.065651,13.341029,-1.98718739,-7.53215837,5.55095673,-0.01079345,-,-,-,3.92156863,-0.02499427,0,0,-,-,14.66994286,14.64975643,2.30795002,0.0939282,âˆž,4.31423235,-,-,-,29.41176605,20.3921566,-,-,650,-,-,-,-,-,0.33331621,0.00555527,-,13.12335968,758.0894165,13.34102917,43.7486763,-79.82724762,14,-,51,0,25.62853241,0.69370794,0,-,1.17647064,311,0.33700359,0,3.92156863,-,-,0.00949449,10.81200027,299.4030151
Fri May 25 19:22:38 EDT 2018,22:38.2,-79.82725064,43.74867852,0.62578917,4,231.1053973,311.6155,-1.52031803,-6.98029518,6.40448952,-0.00521499,-,-,-,9.8039217,-0.02039716,27.05882454,26.27450943,-,-,14.549716,14.52190304,2.1747992,0.09941939,âˆž,4.37329769,-,-,-,42.74509811,39.2156868,-,-,1512.5,-,-,-,-,-,1.22064292,0.02034405,-,13.12335968,758.2197876,311.615509,43.74868011,-79.82724762,15,7.12449026,51,1.29851079,25.60279655,0.92553908,0,-,5.49019623,314,1.39985049,4.97096968,10.1960783,2.39602089,-,0.01471268,11.98400021,301.5610046
