GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:31:45 EDT 2018,31:44.5,-79.8782841,43.75908141,0.020130266,3,241.4315257,35.627674,-1.47003984,3.05021286,8.80946541,0.01189353,-,-,-,4.31372547,0.07066454,0,0,-,-,14.88572311,14.70358849,31.95746613,22.80340195,âˆž,0.05233445,-,-,-,36.47058868,24.31372643,-,-,675,-,-,-,-,-,0.40249684,0.00670828,-,9.84251976,792.0981445,35.6276741,43.75908279,-79.87828064,15,-,32,0,22.96451759,53.7358017,4.22168589,-,1.17647064,806,0.04503012,0,4.31372547,-,-,4.55118704,508.1480103,351.6470032
Fri May 25 19:31:48 EDT 2018,31:47.5,-79.87828015,43.75908451,0.031148786,3,241.5031803,35.627674,-1.8710686,3.05619836,9.7958765,0.00543845,-,-,-,3.92156863,-0.01352167,0,0,-,-,14.70179462,14.64167976,31.95746613,22.69125366,âˆž,0.05336497,-,-,-,36.07843018,25.88235283,-,-,675,-,-,-,-,-,0.39669037,0.00661151,-,9.84251976,792.333252,35.6276741,43.75908279,-79.87828064,15,-,35,0,22.95480537,53.54697037,4.20685053,-,1.17647064,850,0.06967784,0,3.92156863,-,-,4.55118704,508.1480103,354.6789856
Fri May 25 19:31:51 EDT 2018,31:50.5,-79.87827851,43.75908686,0.043819465,3,241.5208877,35.627674,-1.40060794,5.31752205,8.08282471,-0.08029549,-,-,-,3.92156863,-0.14451303,0,0,-,-,14.70358849,15.12572861,31.95746613,22.61709976,âˆž,0.05342159,-,-,-,47.45098114,25.09803963,-,-,775,-,-,-,-,-,0.71772969,0.01196216,-,9.84251976,792.3913574,35.6276741,43.75908661,-79.87828064,15,-,35,0,22.94893456,53.36463547,4.19252539,-,1.17647064,853,0.09802135,0,6.66666698,-,-,4.55118704,508.1480103,357.6270142
Fri May 25 19:31:54 EDT 2018,31:53.5,-79.87827551,43.75909519,1.021403,3,241.7170485,11.672856,-1.74776721,6.8917098,6.37336493,-0.01339445,-,-,-,5.09803915,0.03385929,0,0,-,-,14.50395775,13.94185066,31.82451439,22.55354881,âˆž,0.05355107,-,-,-,26.27450943,25.88235283,-,-,1125,-,-,-,-,-,0.53946525,0.00899109,-,9.84251976,793.0349121,11.67285633,43.75909424,-79.87827301,15,2.08913612,36,2.93812823,22.93310547,53.35606384,4.17804289,-,1.17647064,857,2.2848134,4.97096968,4.70588255,22.23548317,-,4.55679941,510.29599,358.480011
Fri May 25 19:31:57 EDT 2018,31:56.5,-79.87830728,43.75914455,2.0223658,3,241.9155446,278.76755,-1.77889192,7.61835003,5.03500605,-0.03849351,-,-,-,4.70588255,-0.10588148,0,0,-,-,14.7417202,14.67756844,31.63447571,22.46402931,0.25918323,0.05363626,-,-,-,28.23529434,21.96078491,-,-,1012.5,-,-,-,-,-,0.50658917,0.00844315,-,9.84251976,793.6861572,278.7675476,43.75914383,-79.87830353,15,2.08913612,36,3.12880349,22.92646599,53.51759338,4.16357422,-,1.17647064,859,4.52390337,3.72822714,4.70588255,-,-,4.56103134,513.3150024,358.480011
Fri May 25 19:32:00 EDT 2018,31:59.5,-79.87840521,43.7591481,2.2437835,3,242.1115402,242.77031,-1.74657011,6.52539682,6.67742872,0.0058821,-,-,-,7.84313726,-0.0154578,21.56862831,21.17647171,-,-,14.6555872,14.46178913,31.45268059,22.37938499,0.35844308,0.05373048,-,-,-,47.45098114,31.37254906,-,-,1625,-,-,-,-,-,1.46879947,0.02447999,-,9.84251976,794.3292236,242.7703095,43.75914764,-79.87840271,15,2.14229059,37,1.438833,22.90786171,53.67779541,4.14922428,-,4.31372547,862,5.0192008,6.21371174,10.98039246,14.19044495,-,4.56596899,516.3300171,358.480011
Fri May 25 19:32:03 EDT 2018,32:02.5,-79.87851202,43.75909436,2.7135623,3,243.4168522,223.51958,-1.49398184,7.34301662,6.11359406,-0.00842914,-,-,-,13.33333397,-0.05265452,37.25490189,36.47058868,-,-,14.67577457,14.68788719,31.29859352,22.31350899,0.39547944,0.05402272,-,-,-,56.07843399,43.13725662,-,-,2062.5,-,-,-,-,-,2.34770179,0.03912836,-,9.84251976,798.6117554,223.519577,43.75909424,-79.87850952,15,12.86366177,37,2.02540779,22.87255669,53.84052658,4.13464785,-,9.01960754,865,6.0700655,12.42742348,15.29411793,30.25721359,-,4.57251644,519.4140015,358.480011
Fri May 25 19:32:06 EDT 2018,32:05.5,-79.87870109,43.75895918,3.8844528,3,244.4909596,227.15746,-0.48482585,7.16704273,7.33343983,0.00719587,-,-,-,18.03921509,-0.03551966,39.2156868,38.03921509,-,-,14.69596195,14.62777328,31.22774315,22.2918148,0.58740509,0.05428876,-,-,-,67.84313965,55.68627548,-,-,1712.5,-,-,-,-,-,2.25709367,0.03761823,-,9.84251976,802.1357422,227.1574554,43.75896072,-79.87870026,15,17.7203598,36,3.27711296,22.84050941,53.99224854,4.12105799,-,13.72549057,868,8.68927288,18.64113617,15.68627453,61.10466766,-,4.58580637,522.3079834,358.480011
Fri May 25 19:32:09 EDT 2018,32:08.5,-79.87897115,43.75877435,8.964956,4,245.0977701,226.33159,-1.0474633,5.85382318,7.46871233,0.01289641,-,-,-,6.27450991,0.02998527,0,0,-,-,14.93955708,13.309762,31.16009903,22.28624916,0.17897666,0.05459037,-,-,-,26.66666794,43.13725662,-,-,1062.5,-,-,-,-,-,0.49308518,0.00821809,-,13.12335968,804.1265259,226.3315888,43.7587738,-79.87897491,15,7.00867367,35,19.28694916,22.81687737,54.14868546,4.10704565,-,0.78431374,871,20.05403519,22.36936378,7.05882359,87.55160522,-,4.60439444,525.3129883,358.480011
Fri May 25 19:32:12 EDT 2018,32:11.5,-79.87925273,43.75857165,10.680614,4,245.5338107,223.5391,1.12647188,-9.57201862,3.8558619,0.08175678,-,-,-,12.54901981,0.05971851,23.52941132,22.74509811,-,-,14.79555321,14.73185062,31.10438347,22.28861427,0.2946077,0.05455056,-,-,-,60.39215851,50.98039246,-,-,1450,-,-,-,-,-,1.71708548,0.02861809,-,13.12335968,805.5571289,223.539093,43.75857162,-79.87924957,15,12.17540073,34,5.84621286,22.79495621,54.30540085,4.09300804,-,9.01960754,874,23.89185333,24.85484695,12.54901981,60.31169128,-,4.62425518,528.3439941,358.480011
