GPS_Speed,Absolute_Throttle_Position_B,Average_trip_speed(moving only),Engine_Load(%),Engine_Load(Absolute)(%),Engine_RPM,Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Relative Throttle Position(%),Speed(mph),Throttle Position(Manifold)(%),Torque(Nm),Normal Driving
0.03694218,4.31372547,2.30795002,30.19607925,25.09803963,725,0.36651179,0.00610853,1.17647064,0,4.31372547,-,1
0.25769523,3.92156863,2.30795002,28.62745094,21.1764698,700,0.33621463,0.00560358,1.17647064,0,3.92156863,-,1
0.03419555,3.92156863,2.30795002,28.23529434,20.3921566,687.5,0.33270571,0.0055451,1.17647064,0,3.92156863,-,1
0.01182142,3.52941179,2.30795002,28.23529434,19.6078434,675,0.31899956,0.00531666,1.17647064,0,3.92156863,-,1
0.01182478,3.52941179,2.30795002,29.01960754,20.3921566,662.5,0.33053178,0.00550886,1.17647064,0,3.92156863,-,1
0.014019633,3.52941179,2.30795002,29.41176605,20.3921566,662.5,0.31876341,0.00531272,1.17647064,0,3.92156863,-,1
0.040205847,3.52941179,2.30795002,28.62745094,20.3921566,675,0.33606955,0.00560116,1.17647064,0,3.92156863,-,1
0.042646505,3.52941179,2.30795002,29.41176605,20.3921566,662.5,0.32602522,0.00543375,1.17647064,0,3.92156863,-,1
0.15065409,3.92156863,2.30795002,29.41176605,20.3921566,650,0.33331621,0.00555527,1.17647064,0,3.92156863,-,1
0.62578917,9.8039217,2.1747992,42.74509811,39.2156868,1512.5,1.22064292,0.02034405,5.49019623,4.97096968,10.1960783,2.39602089,1
3.7355862,12.54901981,3.35540438,52.54901886,34.50980377,1750,1.81171775,0.0301953,8.23529434,12.42742348,11.76470566,40.3508873,1
6.937076,4.31372547,6.11811638,19.2156868,14.90196037,1025,0.43656397,0.00727607,1.17647064,16.15565109,4.31372547,86.54827881,1
5.980228,4.31372547,7.04220676,24.31372643,17.25490189,950,0.42686602,0.00711443,1.17647064,8.69919682,4.70588255,-,1
4.6707444,11.37254906,7.23714638,45.49019623,36.07843018,1937.5,1.90163684,0.03169395,7.05882359,9.94193935,10.98039246,-,1
6.671831,16.47058868,7.91430664,52.15686417,36.07843018,1850,2.22753406,0.03712557,12.94117641,17.39839363,18.8235302,54.69857025,1
8.236266,4.31372547,8.45064831,21.56862831,31.37254906,962.5,0.47724524,0.00795409,1.17647064,17.39839363,4.70588255,40.29283905,1
5.897497,4.70588255,8.81755352,23.52941132,17.25490189,987.5,0.43406078,0.00723435,0.78431374,8.69919682,4.70588255,40.29283905,1
3.687394,10.98039246,8.69919682,42.74509811,36.07843018,1725,1.3413589,0.02235598,6.66666698,8.69919682,9.01960754,-,1
5.360789,12.54901981,8.90632057,53.72549057,38.4313736,1950,2.05644941,0.03427416,7.84313726,14.91290855,11.76470566,39.0868721,1
8.286216,13.33333397,9.55955696,27.84313774,43.13725662,1200,0.45207882,0.00753465,5.49019623,19.88387871,11.76470566,80.2283783,1
9.033957,7.05882359,10.62759018,45.49019623,21.96078491,1525,1.34545028,0.02242417,3.52941179,19.88387871,7.84313726,-,1
9.49498,4.70588255,11.5730381,22.35294151,23.52941132,937.5,0.40402535,0.00673376,1.17647064,17.39839363,4.31372547,48.88828278,1
6.301701,4.70588255,11.69639969,22.74509811,16.47058868,1025,0.42222354,0.00703706,1.17647064,6.21371174,4.70588255,-,1
